support,itemsets
0.020010261672652643,"frozenset({'brown bread', 'curd'})"
0.017444843509492047,"frozenset({'brown bread', 'dessert'})"
0.020010261672652643,"frozenset({'brown bread', 'domestic eggs'})"
0.022319138019497177,"frozenset({'frankfurter', 'brown bread'})"
0.011031298101590559,"frozenset({'frozen meals', 'brown bread'})"
0.016418676244227808,"frozenset({'brown bread', 'frozen vegetables'})"
0.02103642893791688,"frozenset({'fruit/vegetable juice', 'brown bread'})"
0.01051821446895844,"frozenset({'brown bread', 'grapes'})"
0.0107747562852745,"frozenset({'brown bread', 'ham'})"
0.011031298101590559,"frozenset({'hamburger meat', 'brown bread'})"
0.01590559261159569,"frozenset({'margarine', 'brown bread'})"
0.011287839917906618,"frozenset({'meat', 'brown bread'})"
0.01051821446895844,"frozenset({'brown bread', 'misc. beverages'})"
0.0107747562852745,"frozenset({'napkins', 'brown bread'})"
0.023601847101077475,"frozenset({'newspapers', 'brown bread'})"
0.012057465366854798,"frozenset({'onions', 'brown bread'})"
0.05977424320164187,"frozenset({'other vegetables', 'brown bread'})"
0.03129810159055926,"frozenset({'pastry', 'brown bread'})"
0.02744997434581837,"frozenset({'brown bread', 'pip fruit'})"
0.023088763468445357,"frozenset({'pork', 'brown bread'})"
0.05336069779374038,"frozenset({'rolls/buns', 'brown bread'})"
0.03386351975371986,"frozenset({'brown bread', 'root vegetables'})"
0.012057465366854798,"frozenset({'salty snack', 'brown bread'})"
0.03514622883530016,"frozenset({'sausage', 'brown bread'})"
0.0310415597742432,"frozenset({'brown bread', 'shopping bags'})"
0.04720369420215495,"frozenset({'brown bread', 'soda'})"
0.03463314520266803,"frozenset({'tropical fruit', 'brown bread'})"
0.01026167265264238,"frozenset({'waffles', 'brown bread'})"
0.02103642893791688,"frozenset({'whipped/sour cream', 'brown bread'})"
0.01616213442791175,"frozenset({'white bread', 'brown bread'})"
0.06977937403796819,"frozenset({'brown bread', 'whole milk'})"
0.04207285787583376,"frozenset({'yogurt', 'brown bread'})"
0.010005130836326322,"frozenset({'butter', 'butter milk'})"
0.024628014366341714,"frozenset({'butter', 'canned beer'})"
0.018984094407388404,"frozenset({'butter', 'chicken'})"
0.012057465366854798,"frozenset({'butter', 'chocolate'})"
0.026936890713186248,"frozenset({'butter', 'citrus fruit'})"
0.018214468958440224,"frozenset({'butter', 'coffee'})"
0.01539250897896357,"frozenset({'butter', 'cream cheese '})"
0.01616213442791175,"frozenset({'butter', 'curd'})"
0.011031298101590559,"frozenset({'butter', 'dessert'})"
0.016418676244227808,"frozenset({'butter', 'domestic eggs'})"
0.02180605438686506,"frozenset({'butter', 'frankfurter'})"
0.012827090815802977,"frozenset({'butter', 'frozen vegetables'})"
0.019497178040020522,"frozenset({'butter', 'fruit/vegetable juice'})"
0.010005130836326322,"frozenset({'butter', 'ham'})"
0.01051821446895844,"frozenset({'butter', 'ice cream'})"
0.018471010774756286,"frozenset({'butter', 'margarine'})"
0.0107747562852745,"frozenset({'meat', 'butter'})"
0.011287839917906618,"frozenset({'butter', 'napkins'})"
0.023088763468445357,"frozenset({'butter', 'newspapers'})"
0.01051821446895844,"frozenset({'butter', 'onions'})"
0.05720882503848127,"frozenset({'butter', 'other vegetables'})"
0.025910723447922012,"frozenset({'butter', 'pastry'})"
0.023345305284761416,"frozenset({'butter', 'pip fruit'})"
0.016418676244227808,"frozenset({'butter', 'pork'})"
0.049512570548999484,"frozenset({'butter', 'rolls/buns'})"
0.03309389430477168,"frozenset({'butter', 'root vegetables'})"
0.012570548999486916,"frozenset({'salty snack', 'butter'})"
0.032837352488455616,"frozenset({'butter', 'sausage'})"
0.025141097998973832,"frozenset({'butter', 'shopping bags'})"
0.0443817342226783,"frozenset({'butter', 'soda'})"
0.0310415597742432,"frozenset({'butter', 'tropical fruit'})"
0.02103642893791688,"frozenset({'butter', 'whipped/sour cream'})"
0.013340174448435094,"frozenset({'butter', 'white bread'})"
0.06618778860954336,"frozenset({'butter', 'whole milk'})"
0.044894817855310416,"frozenset({'butter', 'yogurt'})"
0.011800923550538737,"frozenset({'canned beer', 'butter milk'})"
0.011800923550538737,"frozenset({'citrus fruit', 'butter milk'})"
0.011287839917906618,"frozenset({'butter milk', 'domestic eggs'})"
0.010005130836326322,"frozenset({'frankfurter', 'butter milk'})"
0.02744997434581837,"frozenset({'other vegetables', 'butter milk'})"
0.013853258081067214,"frozenset({'pastry', 'butter milk'})"
0.02539763981528989,"frozenset({'butter milk', 'rolls/buns'})"
0.01693175987685993,"frozenset({'butter milk', 'root vegetables'})"
0.012314007183170857,"frozenset({'sausage', 'butter milk'})"
0.015135967162647512,"frozenset({'butter milk', 'shopping bags'})"
0.020266803488968702,"frozenset({'butter milk', 'soda'})"
0.01564905079527963,"frozenset({'tropical fruit', 'butter milk'})"
0.011544381734222679,"frozenset({'whipped/sour cream', 'butter milk'})"
0.03155464340687532,"frozenset({'butter milk', 'whole milk'})"
0.020010261672652643,"frozenset({'yogurt', 'butter milk'})"
0.012314007183170857,"frozenset({'cake bar', 'whole milk'})"
0.012057465366854798,"frozenset({'candy', 'canned beer'})"
0.013853258081067214,"frozenset({'candy', 'citrus fruit'})"
0.023088763468445357,"frozenset({'candy', 'other vegetables'})"
0.011031298101590559,"frozenset({'pastry', 'candy'})"
0.012570548999486916,"frozenset({'candy', 'pip fruit'})"
0.021549512570549,"frozenset({'candy', 'rolls/buns'})"
0.013853258081067214,"frozenset({'candy', 'root vegetables'})"
0.012827090815802977,"frozenset({'candy', 'sausage'})"
0.0107747562852745,"frozenset({'candy', 'shopping bags'})"
0.018984094407388404,"frozenset({'candy', 'soda'})"
0.01616213442791175,"frozenset({'candy', 'tropical fruit'})"
0.011287839917906618,"frozenset({'whipped/sour cream', 'candy'})"
0.029245767060030785,"frozenset({'candy', 'whole milk'})"
0.019753719856336584,"frozenset({'candy', 'yogurt'})"
0.019240636223704463,"frozenset({'chicken', 'canned beer'})"
0.01718830169317599,"frozenset({'canned beer', 'chocolate'})"
